contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
FUBO250228P00000500,2025-01-31 19:07:30+00:00,0.5,0.01,0.0,0.01,0.0,0.0,2.0,3,7.00000125,False,REGULAR,USD,2025-02-28
FUBO250228P00001000,2025-02-20 15:47:52+00:00,1.0,0.01,0.0,0.01,0.01,,,1,4.500004375,False,REGULAR,USD,2025-02-28
FUBO250228P00001500,2025-02-12 15:08:09+00:00,1.5,0.01,0.0,0.01,0.0,0.0,1.0,1344,3.2500018749999997,False,REGULAR,USD,2025-02-28
FUBO250228P00002000,2025-02-20 20:35:55+00:00,2.0,0.01,0.0,0.01,0.0,0.0,10.0,248,2.3750040624999995,False,REGULAR,USD,2025-02-28
FUBO250228P00002500,2025-02-19 19:27:24+00:00,2.5,0.03,0.0,0.01,0.0,0.0,21.0,265,1.5625021874999998,False,REGULAR,USD,2025-02-28
FUBO250228P00003000,2025-02-21 20:57:47+00:00,3.0,0.03,0.03,0.04,0.0,0.0,333.0,118,1.46875265625,False,REGULAR,USD,2025-02-28
FUBO250228P00003500,2025-02-21 20:59:17+00:00,3.5,0.17,0.15,0.17,0.060000002,54.545456,795.0,1347,1.453127734375,False,REGULAR,USD,2025-02-28
FUBO250228P00004000,2025-02-21 20:54:25+00:00,4.0,0.45,0.44,0.47,0.07999998,21.621616,1001.0,3974,1.625001875,True,REGULAR,USD,2025-02-28
FUBO250228P00004500,2025-02-21 20:35:19+00:00,4.5,0.86,0.83,0.99,0.100000024,13.157898,126.0,552,2.1250046874999997,True,REGULAR,USD,2025-02-28
FUBO250228P00005000,2025-02-21 17:08:35+00:00,5.0,1.07,1.28,1.41,-0.18999994,-15.07936,8.0,62,2.2500043749999996,True,REGULAR,USD,2025-02-28
FUBO250228P00005500,2025-02-20 16:40:22+00:00,5.5,1.74,1.52,1.86,0.0,0.0,11.0,748,2.7968780078125004,True,REGULAR,USD,2025-02-28
FUBO250228P00006000,2025-02-11 16:29:00+00:00,6.0,2.05,2.24,2.48,0.0,0.0,3.0,31,3.1875020312499998,True,REGULAR,USD,2025-02-28
FUBO250228P00006500,2025-02-06 19:58:31+00:00,6.5,2.5,2.57,2.95,0.0,0.0,1.0,0,2.3437541406249993,True,REGULAR,USD,2025-02-28
FUBO250228P00007000,2025-02-18 18:12:07+00:00,7.0,2.97,2.84,3.3,0.0,0.0,3.0,1,3.2187519531249995,True,REGULAR,USD,2025-02-28
